question,answer,label
Should ascitis volume and anthropometric measurements be estimated in hospitalized alcoholic cirrotics?,yes,yes
Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,yes,yes
Does depression diagnosis and antidepressant prescribing vary by location?,yes,yes
May student examiners be reasonable substitute examiners for faculty in an undergraduate OSCE on medical emergencies?,yes,yes
Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,yes
Is There an Additional Value of Using Somatostatin Receptor Subtype 2a Immunohistochemistry Compared to Somatostatin Receptor Scintigraphy Uptake in Predicting Gastroenteropancreatic Neuroendocrine Tumor Response?,no,no
Does the leukocyte count correlate with the severity of injury?,yes,yes
Does occupational nuclear power plant radiation affect conception and pregnancy?,yes,yes
Does rural or urban residence make a difference to neonatal outcome in premature birth?,yes,yes
Is halofantrine ototoxic?,yes,yes
Is nasogastric decompression useful in prevention of leaks after laparoscopic sleeve gastrectomy?,no,no
Metered-dose inhalers. Do health care providers know what to teach?,no,no
Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?,yes,yes
Scrotal approach to both palpable and impalpable undescended testes: should it become our first choice?,yes,yes
Storage of vaccines in the community: weak link in the cold chain?,maybe,maybe
Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,no,no
Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,yes,yes
Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,yes,yes
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,maybe
Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,no,no
Can implant retention be recommended for treatment of infected TKA?,maybe,maybe
Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,yes,yes
Is the ability to perform transurethral resection of the prostate influenced by the surgeon's previous experience?,yes,yes
"""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute for diagnostic arthroscopy?",yes,yes
Does rugby headgear prevent concussion?,maybe,maybe
Are endothelial cell patterns of astrocytomas indicative of grade?,yes,yes
Can mass drug administration lead to the sustainable control of schistosomiasis?,no,no
Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?,yes,yes
Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,no,no
Does bone anchor fixation improve the outcome of percutaneous bladder neck suspension in female stress urinary incontinence?,yes,yes
Does body mass index (BMI) influence morbidity and long-term survival in gastric cancer patients after gastrectomy?,maybe,maybe
Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,no,no
Are tuberculosis patients adherent to prescribed treatments in China?,maybe,maybe
The objective structured clinical examination: can physician-examiners participate from a distance?,yes,yes
Chronic functional somatic symptoms: a single syndrome?,no,no
Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,yes,yes
Does the Transmissible Liability Index (TLI) assessed in late childhood predict suicidal symptoms at young adulthood?,yes,yes
"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",yes,yes
Cervical spine fractures in geriatric blunt trauma patients with low-energy mechanism: are clinical predictors adequate?,no,no
Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,no,no
Does tranexamic acid reduce desmopressin-induced hyperfibrinolysis?,yes,yes
After CLASS--Is a voluntary public insurance program a realistic way to meet the long-term support and service needs of adults with disabilities?,no,no
Is there a need for pelvic CT scan in cases of renal cell carcinoma?,no,no
Is peak concentration needed in therapeutic drug monitoring of vancomycin?,no,no
Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,yes,yes
Do inhaled corticosteroids affect perception of dyspnea during bronchoconstriction in asthma?,yes,yes
Are environmental factors important in primary systemic vasculitis?,yes,yes
Nasal polyposis: is there an inheritance pattern?,yes,yes
Is extended aortic replacement in acute type A dissection justifiable?,yes,yes
Does concept mapping enhance learning outcome of nursing students?,yes,yes
HIF1A as a major vascular endothelial growth factor regulator: do its polymorphisms have an association with age-related macular degeneration?,maybe,maybe
Juvenile osteochondritis dissecans: is it a growth disturbance of the secondary physis of the epiphysis?,yes,yes
Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,maybe,maybe
Are sports medicine journals relevant and applicable to practitioners and athletes?,no,no
Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,yes
Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,yes,yes
Is primary angioplasty an acceptable alternative to thrombolysis?,yes,yes
Cold knife conization vs. LEEP. Are they the same procedure?,no,no
Does ethnicity affect where people with cancer die?,yes,yes
Does menopausal transition affect the quality of life?,no,no
Prostate-specific antigen and free prostate-specific antigen in the early detection of prostate cancer: do combination tests improve detection?,yes,yes
Can computerised tomography replace bone scintigraphy in detecting bone metastases from breast cancer?,yes,yes
Is renal warm ischemia over 30 minutes during laparoscopic partial nephrectomy possible?,no,no
Chemoradiotherapy in the management of locally advanced squamous cell carcinoma esophagus: is surgical resection required?,no,no
Is there a model to teach and practice retroperitoneoscopic nephrectomy?,yes,yes
Attaining negative margins in breast-conservation operations: is there a consensus among breast surgeons?,no,no
Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,yes,yes
Chemical shift MRI: is there any contribution to morphologic evaluation of solid breast masses?,yes,yes
Cigarettes and cinema: does parental restriction of R-rated movie viewing reduce adolescent smoking susceptibility?,yes,yes
Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett's oesophagus in Korea?,yes,yes
Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,yes,yes
Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,no,no
Can T-cell deficiency affect spatial learning ability following toluene exposure?,yes,yes
Characterization of the gender dimorphism after injury and hemorrhagic shock: are hormonal differences responsible?,no,no
Gluten tolerance in adult patients with celiac disease 20 years after diagnosis?,maybe,maybe
Does surgery or radiation therapy impact survival for patients with extrapulmonary small cell cancers?,yes,yes
Do symptoms matter when considering patients for phase I clinical trials?,yes,yes
Comparing femoral version after intramedullary nailing performed by trauma-trained and non-trauma trained surgeons: is there a difference?,no,no
In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophic pyloric stenosis: is there an etiologic role?,yes,yes
Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,yes
Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,yes,yes
Is routine dissection of the station 9 lymph nodes really necessary for primary lung cancer?,no,no
Can Roux-en-Y gastric bypass provide a lifelong solution for diabetes mellitus?,yes,yes
Does ibuprofen increase perioperative blood loss during hip arthroplasty?,yes,yes
Diagnostic and therapeutic ureteroscopy: is dilatation of ureteral meatus always necessary?,no,no
Do antibiotics decrease post-tonsillectomy morbidity?,no,no
Can teaching medical students to investigate medication errors change their attitudes towards patient safety?,yes,yes
Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,no,no
Post-tonsillectomy late haemorrhage: is it a preferably night-time event?,yes,yes
Does Molecular Genotype Provide Useful Information in the Management of Radioiodine Refractory Thyroid Cancers?,yes,yes
Biliary atresia: should all patients undergo a portoenterostomy?,no,no
Should early extubation be the goal for children after congenital cardiac surgery?,yes,yes
Is the covering of the resection margin after distal pancreatectomy advantageous?,no,no
Inhibin: a new circulating marker of hydatidiform mole?,yes,yes
Follow-up of patients with new cardiovascular implantable electronic devices: are experts' recommendations implemented in routine clinical practice?,yes,yes
Does increased patient awareness improve accrual into cancer-related clinical trials?,no,no
Validation of the 2009 TNM version in a large multi-institutional cohort of patients treated for renal cell carcinoma: are further improvements needed?,yes,yes
Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,no,no
"Are there associations of health status, disease activity and damage in SLE patients?",yes,yes
Does a history of unintended pregnancy lessen the likelihood of desire for sterilization reversal?,no,no
Preoperative platelet count in esophageal squamous cell carcinoma: is it a prognostic factor?,yes,yes
Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,yes,yes
Vitamin D supplementation and regulatory T cells in apparently healthy subjects: vitamin D treatment for autoimmune diseases?,yes,yes
Does invasive diagnosis of nosocomial pneumonia during off-hours delay treatment?,no,no
Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,yes,yes
Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?,no,no
Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,yes,yes
"Does obesity predict knee pain over fourteen years in women, independently of radiographic changes?",yes,yes
Can surgeon familiarization with current evidence lead to a change in practice?,no,no
Cycloplegic autorefraction in young adults: is it mandatory?,maybe,maybe
Are physicians aware of the side effects of angiotensin-converting enzyme inhibitors?,no,no
The effective orifice area/patient aortic annulus area ratio: a better way to compare different bioprostheses?,yes,yes
Hepatic arterial embolization for unresectable hepatocellular carcinomas: do technical factors affect prognosis?,yes,yes
Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,no,no
Failed IUD insertions in community practice: an under-recognized problem?,yes,yes
Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,yes,yes
Does preoperative anemia adversely affect colon and rectal surgery outcomes?,yes,yes
Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,maybe,maybe
School food policy at Dutch primary schools: room for improvement?,yes,yes
Does patient position during liver surgery influence the risk of venous air embolism?,no,no
Should serum pancreatic lipase replace serum amylase as a biomarker of acute pancreatitis?,yes,yes
Delayed imaging in routine CT examinations of the abdomen and pelvis: is it worth the additional cost of radiation and time?,no,no
Medical student education in emergency medicine: do students meet the national standards for clinical encounters of selected core conditions?,no,no
Is there a role for leukocyte and CRP measurements in the diagnosis of acute appendicitis in the elderly?,maybe,maybe
Should temperature be monitorized during kidney allograft preservation?,no,no
Can you deliver accurate tidal volume by manual resuscitator?,no,no
Therapeutic anticoagulation in the trauma patient: is it safe?,no,no
Do older men benefit from curative therapy of localized prostate cancer?,yes,yes
Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?,yes,yes
Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,no,no
Can a practicing surgeon detect early lymphedema reliably?,maybe,maybe
Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,yes,yes
"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?",no,no
The association of puberty and young adolescent alcohol use: do parents have a moderating role?,no,no
Do older patients receive adequate stroke care?,maybe,maybe
Does patient-prosthesis mismatch after aortic valve replacement affect survival and quality of life in elderly patients?,no,no
Rotator cuff tear--an occupational disease?,yes,yes
Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?,yes,yes
Has the mammography quality standards act affected the mammography quality in North Carolina?,yes,yes
Menopausal hormone therapy and irregular endometrial bleeding: a potential role for uterine natural killer cells?,yes,yes
Can we predict which head and neck cancer survivors develop fears of recurrence?,yes,yes
Midwives' competence: is it affected by working in a rural location?,maybe,maybe
Are neighbourhood social capital and availability of sports facilities related to sports participation among Dutch adolescents?,maybe,maybe
Does the severity of obstructive sleep apnea predict patients requiring high continuous positive airway pressure?,maybe,maybe
Does anterior laxity of the uninjured knee influence clinical outcomes of ACL reconstruction?,yes,yes
Does delivery mode affect women's postpartum quality of life in rural China?,no,no
Does Sensation Return to the Nasal Tip After Microfat Grafting?,yes,yes
Is there a differential in the dental health of new recruits to the British Armed Forces?,yes,yes
Can D-dimer become a new diagnostic parameter for acute appendicitis?,no,no
Is minimally invasive mitral valve repair with artificial chords reproducible and applicable in routine surgery?,yes,yes
Do elderly cancer patients have different care needs compared with younger ones?,no,no
"Does delaying surgery in immature adolescent idiopathic scoliosis patients with progressive curve, lead to addition of fusion levels?",yes,yes
SPECT study with I-123-Ioflupane (DaTSCAN) in patients with essential tremor. Is there any correlation with Parkinson's disease?,no,no
Is the cell death in mesial temporal sclerosis apoptotic?,maybe,maybe
Does nuchal translucency thickness in the first trimester predict GDM onset during pregnancy?,no,no
Does birth center care during a woman's first pregnancy have any impact on her future reproduction?,no,no
Does stress increase imitation of drinking behavior?,no,no
Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,yes,yes
Are wandering and physically nonaggressive agitation equivalent?,no,no
Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?,yes,yes
Can patients be anticoagulated after intracerebral hemorrhage?,maybe,maybe
Percutaneous ethanol injection for benign cystic thyroid nodules: is aspiration of ethanol-mixed fluid advantageous?,no,no
Is the breast best for children with a family history of atopy?,yes,yes
Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,yes,yes
Do episodic migraineurs selectively attend to headache-related visual stimuli?,no,no
Does treatment duration affect outcome after radiotherapy for prostate cancer?,yes,yes
Is muscle power related to running speed with changes of direction?,yes,yes
Is there a uniform basal endometrial gene expression profile during the implantation window in women who became pregnant in a subsequent ICSI cycle?,maybe,maybe
Does a dedicated discharge coordinator improve the quality of hospital discharge?,yes,yes
Location and number of sutures placed for hiatal hernia repair during laparoscopic adjustable gastric banding: does it matter?,no,no
Does obesity impact the pattern and outcome of trauma in children?,no,no
Is vitamin D deficiency a feature of pediatric celiac disease?,no,no
Cerebromediastinal tuberculosis in a child with a probable Say-Barber-Miller syndrome: a causative link?,yes,yes
Does positron emission tomography change management in primary rectal cancer?,yes,yes
Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,yes,yes
Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,no,no
Analysis of the epidemiological pattern of Shigellosis in Barcelona between 1988 and 2012: Is it an emerging sexually transmitted infection?,yes,yes
Does spontaneous remission occur in polyarteritis nodosa?,yes,yes
Is vancomycin MIC creep a worldwide phenomenon?,no,no
Are laboratories reporting serum quantitative hCG results correctly?,no,no
Are adult body circumferences associated with height?,yes,yes
Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,maybe,maybe
Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,no,no
Does hippocampal atrophy on MRI predict cognitive decline?,no,no
Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,no,no
Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,yes,yes
"Diagnostic characteristics of child bipolar I disorder: does the ""Treatment of Early Age Mania (team)"" sample generalize?",yes,yes
Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?,yes,yes
Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,yes,yes
Alcohol consumption and acute myocardial infarction: a benefit of alcohol consumed with meals?,yes,yes
Is the histidine triad nucleotide-binding protein 1 (HINT1) gene a candidate for schizophrenia?,no,no
Diabetes mellitus among Swedish art glass workers--an effect of arsenic exposure?,no,no
Is there any relation between cervical cord plaques and discopathy in patients with multiple sclerosis?,yes,yes
Does shaving the incision site increase the infection rate after spinal surgery?,maybe,maybe
Are physician estimates of asthma severity less accurate in black than in white patients?,yes,yes
Can biofeedback training of psychophysiological responses enhance athletes' sport performance?,yes,yes
Are there progressive brain changes in schizophrenia?,yes,yes
Human papillomavirus and pterygium. Is the virus a risk factor?,maybe,maybe
Is a 9-month treatment sufficient in tuberculous enterocolitis?,yes,yes
Is laparoscopic reoperation for failed antireflux surgery feasible?,yes,yes
Cutaneous melanoma in a multiethnic population: is this a different disease?,maybe,maybe
Should prostate specific antigen be adjusted for body mass index?,no,no
It's Fournier's gangrene still dangerous?,yes,yes
Does automatic transmission improve driving behavior in older drivers?,yes,yes
Health habits and vaccination status of Lebanese residents: are future doctors applying the rules of prevention?,no,no
Are sugars-free medicines more erosive than sugars-containing medicines?,no,no
Is non-invasive diagnosis of esophageal varices in patients with compensated hepatic cirrhosis possible by duplex Doppler ultrasonography?,yes,yes
Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,yes,yes
Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,no,no
Is intraoperative neuromonitoring associated with better functional outcome in patients undergoing open TME?,yes,yes
Does peritoneal dialysis affect halitosis in patients with end-stage renal disease?,yes,yes
Are behavioural risk factors to be blamed for the conversion from optimal blood pressure to hypertensive status in Black South Africans?,yes,yes
Can decisional algorithms replace global introspection in the individual causality assessment of spontaneously reported ADRs?,no,no
Does route of delivery affect maternal and perinatal outcome in women with eclampsia?,no,no
Can normal knee kinematics be restored with unicompartmental knee replacement?,no,no
Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,yes,yes
CYP2D6*4 allele and breast cancer risk: is there any association?,yes,yes
Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,maybe,maybe
Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,yes,yes
Is combined therapy more effective than growth hormone or hyperbaric oxygen alone in the healing of left ischemic and non-ischemic colonic anastomoses?,yes,yes
Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,maybe,maybe
Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,yes,yes
Emergency double-balloon enteroscopy combined with real-time viewing of capsule endoscopy: a feasible combined approach in acute overt-obscure gastrointestinal bleeding?,yes,yes
PREVALENCE OF THE STREPTOCOCUS AGALACTIAE IN THE PREGNANT WOMAN FROM THE AUTONOMIC CITY OF MELILLA: IS CULTURE A DETERMINANT FACTOR?,yes,yes
Can bedside assessment reliably exclude aspiration following acute stroke?,no,no
Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,yes,yes
Does quilting suture prevent seroma in abdominoplasty?,yes,yes
Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,no,no
Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?,yes,yes
Counter sampling combined with medical provider education: do they alter prescribing behavior?,maybe,maybe
Household and food shopping environments: do they play a role in socioeconomic inequalities in fruit and vegetable consumption?,no,no
Effects of exercise training on heart rate and QT interval in healthy young individuals: are there gender differences?,yes,yes
Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,yes,yes
Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?,maybe,maybe
Do risk factors for suicidal behavior differ by affective disorder polarity?,no,no
Does use of hydrophilic guidewires significantly improve technical success rates of peripheral PTA?,maybe,maybe
Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,yes,yes
Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,yes,yes
Does strategy training reduce age-related deficits in working memory?,no,no
Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,yes,yes
Search engine as a diagnostic tool in difficult immunological and allergologic cases: is Google useful?,yes,yes
Measuring hospital mortality rates: are 30-day data enough?,yes,yes
Do some U.S. states have higher/lower injury mortality rates than others?,yes,yes
Does cognitive function predict frequency compressed speech recognition in listeners with normal hearing and normal cognition?,no,no
Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,yes
The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,maybe,maybe
Artefacts in 24-h pharyngeal and oesophageal pH monitoring: is simplification of pH data analysis feasible?,maybe,maybe
Are we seeing the effects of public awareness campaigns?,maybe,maybe
Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,yes,yes
Does a well developed collateral circulation predispose to restenosis after percutaneous coronary intervention?,no,no
Does music influence stress in mechanically ventilated patients?,no,no
Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectomy safe and effective as revision surgery?,maybe,maybe
"Laparoscopic-assisted ileocolic resections in patients with Crohn's disease: are abscesses, phlegmons, or recurrent disease contraindications?",no,no
A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,yes,yes
Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,no,no
The use of audit to identify maternal mortality in different settings: is it just a difference between the rich and the poor?,no,no
Parasacral sciatic nerve block: does the elicited motor response predict the success rate?,maybe,maybe
Should all human immunodeficiency virus-infected patients with end-stage renal disease be excluded from transplantation?,no,no
Do general practitioner hospitals reduce the utilisation of general hospital beds?,yes,yes
Is breast cancer survival improving?,yes,yes
Does a geriatric oncology consultation modify the cancer treatment plan for elderly patients?,yes,yes
Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?,yes,yes
Does escalation of the apical dose change treatment outcome in beta-radiation of posterior choroidal melanomas with 106Ru plaques?,no,no
Transgastric endoscopic splenectomy: is it possible?,yes,yes
Do emergency medical services professionals think they should participate in disease prevention?,maybe,maybe
Should chest wall irradiation be included after mastectomy and negative node breast cancer?,maybe,maybe
Do older adults with cancer fall more often?,yes,yes
Convulsions and retinal haemorrhage: should we look further?,yes,yes
Is there still a need for living-related liver transplantation in children?,yes,yes
Can dose reduction to one parotid gland prevent xerostomia?,yes,yes
Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,yes,yes
Has the prevalence of health care services use increased over the last decade (2001-2009) in elderly people?,yes,yes
Fatigue in primary Sjögren's syndrome: is there a link with the fibromyalgia syndrome?,no,no
Does higher body mass index contribute to worse asthma control in an urban population?,no,no
Is solitary kidney really more resistant to ischemia?,yes,yes
Do primary care physicians underprescribe antibiotics for peptic ulcer disease?,yes,yes
"Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?",yes,yes
Are patients with diabetes receiving the same message from dietitians and nurses?,no,no
Doppler examination of uteroplacental circulation in early pregnancy: can it predict adverse outcome?,yes,yes
"Knee extensor strength, dynamic stability, and functional ambulation: are they related in Parkinson's disease?",yes,yes
Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,yes,yes
Does fluoridation reduce the use of dental services among adults?,maybe,maybe
Does performance in selection processes predict performance as a dental student?,no,no
Does a preoperative medically supervised weight loss program improve bariatric surgery outcomes?,no,no
Do prerecorded lecture VODcasts affect lecture attendance of first-yearpre-clinical Graduate Entry to Medicine students?,no,no
Does type 1 diabetes mellitus affect Achilles tendon response to a 10 km run?,no,no
Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,no,no
Are home sampling kits for sexually transmitted infections acceptable among men who have sex with men?,maybe,maybe
Vaccine protection in the elderly: are Austrian seniors adequately protected by vaccinations?,no,no
Is it safe to perform rectal anastomosis in gynaecological debulking surgery without a diverting stoma?,yes,yes
Surgical management of the atherosclerotic ascending aorta: is endoaortic balloon occlusion safe?,no,no
Is severe macrosomia manifested at 11-14 weeks of gestation?,yes,yes
Does the enteral feeding advancement affect short-term outcomes in very low birth weight infants?,yes,yes
Does maternal obesity have an influence on feeding behavior of obese children?,no,no
Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,no,no
Does the investing layer of the deep cervical fascia exist?,no,no
Does coronary angiography before emergency aortic surgery affect in-hospital mortality?,no,no
Ultra high risk (UHR) for psychosis criteria: are there different levels of risk for transition to psychosis?,yes,yes
Are opioid dependence and methadone maintenance treatment (MMT) documented in the medical record?,maybe,maybe
